hero,win_rate,pick_rate,ban_rate,z_score
Lolita,58.13,0.31,0.92,1.869514746989456
Floryn,56.31,0.75,8.15,1.3266160849638837
Argus,55.73,0.58,1.42,1.1862661232556473
Hylos,55.62,0.39,0.26,1.1969215954967687
Moskov,55.52,3.32,28.5,0.7585505321023922
Barats,55.43,1.06,50.91,1.487899248950276
Edith,54.12,0.48,0.27,0.8183970867609072
Harith,54.11,1.24,79.22,1.524231437200826
Carmilla,53.72,0.27,0.41,0.7294965472521181
Khaleed,53.67,0.5,0.32,0.7115844096425822
Masha,53.56,0.56,47.18,1.1367762768494856
Gatotkaca,53.53,1.29,1.98,0.6940915838885464
Popol and Kupa,53.23,0.59,1.22,0.6198129903831636
Belerick,53.17,0.86,6.14,0.6649253473211741
Terizla,53.1,0.97,1.05,0.6078533083359299
Zhask,53.05,0.6,0.92,0.5770197585116805
Melissa,52.71,1.02,2.83,0.559481283955677
Natan,52.6,1.42,8.75,0.6406592467537668
Vexana,52.53,2.76,38.66,1.0759984110621348
Minotaur,52.52,1.24,33.76,0.8501527439062985
Vale,52.32,0.91,0.83,0.4566864217887167
Odette,52.32,1.08,0.84,0.480782587820226
Silvanna,52.25,0.59,0.27,0.39038227508498424
Aulus,52.21,0.18,0.22,0.3177404030482961
Diggie,52.07,0.37,52.4,0.814503302702164
Rafaela,52.05,0.37,0.4,0.30865676263471725
Alucard,52.01,0.9,0.82,0.3967638570968765
Phoveus,51.97,0.08,0.18,0.23365225130344613
Angela,51.97,1.78,38.82,0.9155640193572623
Fredrinn,51.86,1.24,39.81,0.8103639413195031
Gloo,51.86,0.11,0.26,0.2089736392703554
Freya,51.83,0.46,2.14,0.28816637507450815
Harley,51.79,1.02,18.28,0.5478706031526465
Yi Sun-shin,51.59,0.24,0.08,0.16083516983560853
Uranus,51.47,0.38,0.35,0.1652540917732513
Sun,51.42,0.92,4.01,0.3212459189628074
Saber,51.34,1.1,11.71,0.4266125898598664
Benedetta,51.31,0.63,0.83,0.194869372224871
Ling,51.16,1.09,3.81,0.318054826114006
