Pokemon,win_rate,pick_rate,ban_rate
Absol,50.44,26.92,7.35
Aegislash,48.87,7.28,0.32
Azumarill,48.6,7.86,0.38
Blastoise,47.06,9.19,0.25
Blaziken,50.94,34.21,34.14
Blissey,50.38,18.71,0.46
Buzzwole,46.57,4.2,0.74
Ceruledge,47.63,32.65,5.9
Chandelure,49.51,6.46,0.2
Charizard,50.4,8.48,0.24
Cinderace,49.26,17.28,0.37
Clefable,47.62,7.36,1.05
Comfey,48.11,18.65,3.65
Cramorant,53.51,21.55,1.92
Crustle,50.14,12.69,0.38
Decidueye,48.32,21.36,0.77
Delphox,49.22,9.75,0.18
Dodrio,52.56,12.41,3.12
Dragapult,50.43,10.93,0.63
Dragonite,49.86,8.22,0.23
Duraludon,48.94,11.1,0.69
Eldegoss,51.23,25.36,0.5
Espeon,48.22,18.5,0.2
Falinks,56.19,19.02,54.19
Garchomp,51.4,11.52,0.76
Gardevoir,50.23,16.1,0.4
Gengar,48.15,6.74,0.47
Glaceon,47.72,9.98,0.46
Goodra,47.31,8.55,0.15
Greedent,50.52,2.61,0.34
Greninja,48.81,15.73,0.27
Gyarados,51.18,8.4,4.96
Hoopa,52.13,14.83,6.43
Inteleon,49.45,9.04,0.38
Lapras,48.94,3.47,0.19
Leafeon,47.25,16.02,7.6
Lucario,48.78,9.31,0.47
Machamp,49.41,6.38,0.32
Mamoswine,49.47,13.06,0.47
Meowscarada,50.93,14.3,1.87
Metagross,49.89,8.08,1.53
Mew,48.36,6.3,0.39
MewtwoX,51.21,7.59,5.99
MewtwoY,50.84,10.33,25.39
Mimikyu,49.56,25.43,24.07
Miraidon,53.57,15.15,64.82
MrMime,51.32,19.87,0.69
Ninetales,48.27,10.74,0.28
Pikachu,48.67,25.49,0.31
Sableye,47.51,7.63,0.96
Scizor,48.66,15.91,1.77
Slowbro,51.69,51.52,9.96
Snorlax,48.73,8.15,0.11
Sylveon,50.1,25.32,2.78
Talonflame,47.76,11.68,0.38
Trevenant,50.49,32.65,17.95
Tsareena,50.57,8.67,0.61
Tyranitar,52.35,14.92,32.76
Umbreon,49.34,26.63,7.89
Urshifu,47.02,1.68,0.29
Venusaur,50.41,26.62,0.67
Wigglytuff,49.69,8.88,0.44
Zacian,50.71,7.43,26.12
Zeraora,48.68,12.37,0.64
Zoroark,48.71,15.12,17.35
