Pokemon,Win Rate,Pick Rate,Ban Rate
Absol,48.79,15.88,1.54
Aegislash,48.43,11.29,0.68
Azumarill,48.27,9.86,0.69
Blastoise,46.5,22.4,5.24
Blaziken,50.58,18.3,2.33
Blissey,50.28,26.3,0.95
Buzzwole,44.82,6.48,4.26
Chandelure,50.64,8.92,0.28
Charizard,50.3,10.66,0.49
Cinderace,49.69,20.16,0.67
Clefable,47.03,10.36,2.96
Comfey,48.86,14.9,4.98
Cramorant,54.38,30.25,1.59
Crustle,50.62,16.14,0.79
Decidueye,49.26,31.55,2.46
Delphox,49.52,16.59,1.5
Dodrio,51.87,9.66,2.46
Dragapult,49.59,13.28,1.34
Dragonite,50.35,15.02,0.79
Duraludon,49.24,4.94,0.25
Eldegoss,51.5,26.55,0.47
Espeon,48.66,22.04,0.56
Falinks,53.9,17.42,17.56
Garchomp,48.95,7.56,0.44
Gardevoir,50.82,17.56,0.8
Gengar,48.67,8.05,1.53
Glaceon,46.67,16.87,3.16
Goodra,47.34,13.31,1.94
Greedent,49.74,2.64,0.3
Greninja,49.02,17.36,0.6
Gyarados,50.76,17.07,47.86
Hoopa,52.84,19.18,3.33
Inteleon,49.33,12.75,0.76
Lapras,46.91,4.02,0.43
Leafeon,48.83,23.54,43.22
Lucario,48.82,13.48,0.73
Machamp,49.24,7.58,0.43
Mamoswine,49.25,12.77,0.66
Meowscarada,50.35,16.91,14.43
Metagross,49.37,19.9,7.34
Mew,48.34,13.56,5.11
MewtwoX,-,-,-
MewtwoY,-,-,-
Mimikyu,49.18,19.25,13.79
Miraidon,-,-,-
MrMime,51.72,7.82,0.41
Ninetales,48.57,12.04,0.61
Pikachu,48.92,27.76,0.75
Sableye,47.52,6.45,2.01
Scizor,49.5,24.79,11.14
Slowbro,50.23,26.87,2.95
Snorlax,48.79,8.77,0.2
Sylveon,50.31,22.36,0.57
Talonflame,48.03,13.91,0.77
Trevenant,53.17,44.32,17.39
Tsareena,49.92,9.13,0.42
Tyranitar,56.61,30.48,62.88
Umbreon,49.31,39.59,27.65
Urshifu,48.52,2.79,0.36
Venusaur,47.87,19.22,0.68
Wigglytuff,49.86,9.52,1.24
Zacian,-,-,-
Zeraora,49.07,14.57,0.91
Zoroark,48.93,15.68,47.69
