Pokemon,win_rate,pick_rate,ban_rate
Absol,48.78,16.54,1.44
Aegislash,48.02,11.97,0.64
Azumarill,48.04,10.64,0.73
Blastoise,46.49,19.12,2.8
Blaziken,50.79,19.85,2.33
Blissey,50.37,22.45,0.69
Buzzwole,46.05,6.61,2.99
Chandelure,50.94,9.26,0.3
Charizard,50.32,11.43,0.45
Cinderace,49.04,21.07,0.7
Clefable,47.64,10.18,2.6
Comfey,48.98,14.61,5.76
Cramorant,54.49,31.08,2.09
Crustle,50.17,15.85,0.77
Decidueye,49.25,29.25,2.01
Delphox,49.07,15.48,1.1
Dodrio,51.93,9.14,2.04
Dragapult,49.83,13.19,1.08
Dragonite,50.22,14.34,0.79
Duraludon,49.07,5.05,0.21
Eldegoss,51.68,26.3,0.48
Espeon,48.72,21.7,0.53
Falinks,55.22,17.34,17.22
Garchomp,49.36,7.08,0.42
Gardevoir,50.41,18.54,0.86
Gengar,49.06,8.39,1.45
Glaceon,46.54,15.51,2.16
Goodra,47.06,13.17,2.32
Greedent,50.25,2.92,0.32
Greninja,49.46,18.93,0.53
Gyarados,50.36,18.09,48.46
Hoopa,52.53,19.48,3.2
Inteleon,48.93,12.06,0.5
Lapras,47.93,4.51,0.4
Leafeon,48.58,25.31,38.25
Lucario,49.68,14.36,0.68
Machamp,49.19,7.81,0.39
Mamoswine,49.23,12.76,0.68
Meowscarada,51.11,17.23,11.83
Metagross,49.48,16.26,7.42
Mew,47.82,10.81,1.83
MewtwoX,-,-,-
MewtwoY,-,-,-
Mimikyu,49.01,20.11,12.11
Miraidon,-,-,-
MrMime,51.01,9.12,0.4
Ninetales,48.32,13.23,0.59
Pikachu,48.98,29.29,0.83
Sableye,48.19,6.8,1.94
Scizor,49.59,25.37,10.1
Slowbro,49.75,26.67,2.65
Snorlax,48.71,8.71,0.21
Sylveon,50.43,26.36,0.62
Talonflame,48.66,14.61,0.7
Trevenant,53.31,47.8,23.53
Tsareena,50.17,9.57,0.37
Tyranitar,56.23,22.45,88.28
Umbreon,49.34,40.3,21.64
Urshifu,49.84,2.8,0.33
Venusaur,48.11,19.33,0.64
Wigglytuff,49.17,9.84,1.16
Zacian,-,-,-
Zeraora,49.02,14.74,0.82
Zoroark,48.96,16.23,41.63
